stream,department,job_role,company_level,company_name,company_locations,technologies
Engineering,AIDS,Data Analyst,STARTUP,Fractal Analytics,Bangalore,"Python,SQL,Excel,Power BI,Tableau"
Engineering,AIDS,Data Scientist,STARTUP,Mu Sigma,Bangalore,"Python,Statistics,Pandas,Machine Learning,SQL"
Engineering,AIDS,ML Engineer,STARTUP,SigTuple,Bangalore,"Python,Scikit-learn,TensorFlow,Model Deployment"
Engineering,AIDS,AI Engineer,STARTUP,Mad Street Den,Chennai,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
Engineering,AIDS,Business Analyst,STARTUP,Tiger Analytics,Chennai,
Engineering,AIDS,Data Analyst,MID,Accenture,Hyderabad,"Python,SQL,Excel,Power BI,Tableau"
Engineering,AIDS,Data Scientist,MID,TCS,Bangalore,"Python,Statistics,Pandas,Machine Learning,SQL"
Engineering,AIDS,ML Engineer,MID,Infosys,Bangalore,"Python,Scikit-learn,TensorFlow,Model Deployment"
Engineering,AIDS,AI Engineer,MID,Wipro,Hyderabad,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
Engineering,AIDS,Business Analyst,MID,Cognizant,Chennai,
Engineering,AIDS,Data Scientist,HIGH,Google,Bangalore,"Python,Statistics,Pandas,Machine Learning,SQL"
Engineering,AIDS,ML Engineer,HIGH,Amazon,Hyderabad,"Python,Scikit-learn,TensorFlow,Model Deployment"
Engineering,AIDS,AI Engineer,HIGH,Microsoft,Hyderabad,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
Engineering,AIDS,Data Analyst,HIGH,Meta,Bangalore,"Python,SQL,Excel,Power BI,Tableau"
Engineering,AIDS,Research Scientist,HIGH,IBM Research,Bangalore,
Engineering,AIML,ML Engineer,STARTUP,Arya.ai,Bangalore,"Python,Scikit-learn,TensorFlow,Model Deployment"
Engineering,AIML,AI Engineer,STARTUP,Haptik,Mumbai,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
Engineering,AIML,Deep Learning Engineer,STARTUP,Niramai,Bangalore,
Engineering,AIML,NLP Engineer,STARTUP,Yellow.ai,Bangalore,
Engineering,AIML,Computer Vision Engineer,STARTUP,Mad Street Den,Chennai,
Engineering,AIML,ML Engineer,MID,Wipro,Bangalore,"Python,Scikit-learn,TensorFlow,Model Deployment"
Engineering,AIML,AI Engineer,MID,Infosys,Hyderabad,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
Engineering,AIML,Deep Learning Engineer,MID,TCS,Chennai,
Engineering,AIML,NLP Engineer,MID,Accenture,Bangalore,
Engineering,AIML,Computer Vision Engineer,MID,Cognizant,Pune,
Engineering,AIML,ML Engineer,HIGH,Google,Bangalore,"Python,Scikit-learn,TensorFlow,Model Deployment"
Engineering,AIML,AI Engineer,HIGH,Microsoft,Hyderabad,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
Engineering,AIML,Deep Learning Engineer,HIGH,Amazon,Hyderabad,
Engineering,AIML,NLP Engineer,HIGH,Meta,Bangalore,
Engineering,AIML,Computer Vision Engineer,HIGH,NVIDIA,Pune,
Engineering,CSE,Frontend Developer,STARTUP,Zeta,Bangalore,"HTML,CSS,JavaScript,React"
Engineering,CSE,Backend Developer,STARTUP,Razorpay,Bangalore,"Python,Java,APIs,Databases,Microservices"
Engineering,CSE,Full Stack Developer,STARTUP,Cred,Bangalore,"HTML,CSS,JavaScript,Python,SQL"
Engineering,CSE,Software Engineer,STARTUP,Groww,Bangalore,"DSA,OOPS,Python,Java,Git"
Engineering,CSE,DevOps Engineer,STARTUP,Postman,Bangalore,"CI/CD,Docker,Kubernetes,AWS,Linux"
Engineering,CSE,Frontend Developer,MID,Infosys,Bangalore,"HTML,CSS,JavaScript,React"
Engineering,CSE,Backend Developer,MID,TCS,Hyderabad,"Python,Java,APIs,Databases,Microservices"
Engineering,CSE,Full Stack Developer,MID,Wipro,Bangalore,"HTML,CSS,JavaScript,Python,SQL"
Engineering,CSE,Software Engineer,MID,Cognizant,Chennai,"DSA,OOPS,Python,Java,Git"
Engineering,CSE,DevOps Engineer,MID,Accenture,Pune,"CI/CD,Docker,Kubernetes,AWS,Linux"
Engineering,CSE,Frontend Developer,HIGH,Google,Bangalore,"HTML,CSS,JavaScript,React"
Engineering,CSE,Backend Developer,HIGH,Amazon,Hyderabad,"Python,Java,APIs,Databases,Microservices"
Engineering,CSE,Full Stack Developer,HIGH,Microsoft,Hyderabad,"HTML,CSS,JavaScript,Python,SQL"
Engineering,CSE,Software Engineer,HIGH,Apple,Bangalore,"DSA,OOPS,Python,Java,Git"
